GPU_Name;Impact Category;Unit;Casing;Heatsink;PCB;Main dies;POP;Upstream transport
A100 SXM4 40GB;AP - Acidification;mol H+ eq;0.00765;0.328;0.0828;0.582;0.0431;0.00310
A100 SXM4 40GB;GWP - Climate change;kg CO2 eq;0.881;4.80;8.14;105.0;7.49;0.464
A100 SXM4 40GB;CTUe - Ecotoxicity, freshwater;CTUe;67.3;350.0;130.0;1340.0;96.5;0.312
A100 SXM4 40GB;PM - EF-particulate Matter;disease occurrence;4.36e-08;2.00e-06;4.79e-07;3.21e-06;2.42e-07;2.67e-08
A100 SXM4 40GB;Epf - Eutrophication, freshwater;kg P eq;5.73e-06;0.00234;2.00e-05;0.000327;2.32e-05;1.74e-07
A100 SXM4 40GB;Epm - Eutrophication marine;kg N eq;0.000806;0.00540;0.00593;0.0698;0.00500;0.00146
A100 SXM4 40GB;Ept - Eutrophication, terrestrial;mol N eq;0.0088;0.0661;0.0635;0.728;0.0521;0.0160
A100 SXM4 40GB;CTUh-c - Human toxicity, cancer;CTUh;5.35e-09;3.49e-05;3.18e-06;8.20e-08;1.68e-07;8.28e-12
A100 SXM4 40GB;CTUh-nc - Human toxicity, non-cancer;CTUh;5.45e-07;4.61e-06;5.90e-07;5.89e-07;7.28e-08;1.03e-09
A100 SXM4 40GB;IR - Ionising radiation, human health;kBq U-235 eq;0.0851;525.0;48.3;2.04;2.49;0.00113
A100 SXM4 40GB;LU - Land use;Pt;0.0714;5.58;0.0228;0.418;0.0295;0.00
A100 SXM4 40GB;ODP - Ozone depletion;kg CFC11 eq;1.87e-07;1.29e-06;2.69e-06;4.58e-05;3.22e-06;7.10e-10
A100 SXM4 40GB;POCP - Photochemical ozone formation - human health;kg NMVOC eq;0.00291;0.0374;0.0236;0.229;0.0165;0.00406
A100 SXM4 40GB;ADPf - Resource use, fossils;MJ;16.5;64.0;126.0;1380.0;98.0;6.46
A100 SXM4 40GB;ADPe - Resource use, minerals and metals;kg Sb eq;5.41e-05;0.00508;0.000913;0.000161;0.000134;1.82e-08
A100 SXM4 40GB;WU - Water use;m3;0.467;16.9;4.75;35.9;3.41;0.00176
A100 PCIe 40GB;AP - Acidification;mol H+ eq;0.0190;0.106;0.0850;0.346;0.00;0.00159
A100 PCIe 40GB;GWP - Climate change;kg CO2 eq;2.15;1.73;10.2;58.8;0.00;0.239
A100 PCIe 40GB;CTUe - Ecotoxicity, freshwater;CTUe;159.0;116.0;158.0;718.0;0.00;0.161
A100 PCIe 40GB;PM - EF-particulate Matter;disease occurrence;1.20e-07;6.44e-07;4.51e-07;1.90e-06;0.00;1.38e-08
A100 PCIe 40GB;Epf - Eutrophication, freshwater;kg P eq;1.76e-05;0.000796;3.14e-05;0.000125;0.00;8.94e-08
A100 PCIe 40GB;Epm - Eutrophication marine;kg N eq;0.00196;0.00185;0.00762;0.0388;0.00;0.000751
A100 PCIe 40GB;Ept - Eutrophication, terrestrial;mol N eq;0.0217;0.0224;0.0813;0.407;0.00;0.00824
A100 PCIe 40GB;CTUh-c - Human toxicity, cancer;CTUh;1.30e-08;1.14e-05;4.28e-09;7.08e-09;0.00;4.26e-12
A100 PCIe 40GB;CTUh-nc - Human toxicity, non-cancer;CTUh;1.30e-06;1.45e-06;2.27e-07;4.44e-07;0.00;5.28e-10
A100 PCIe 40GB;IR - Ionising radiation, human health;kBq U-235 eq;2.28;173.0;23.5;0.811;0.00;0.000581
A100 PCIe 40GB;LU - Land use;Pt;0.0773;1.90;0.0323;0.103;0.00;0.00
A100 PCIe 40GB;ODP - Ozone depletion;kg CFC11 eq;5.16e-07;4.19e-07;1.49e-06;1.57e-05;0.00;3.65e-10
A100 PCIe 40GB;POCP - Photochemical ozone formation - human health;kg NMVOC eq;0.00732;0.0126;0.0299;0.132;0.00;0.00209
A100 PCIe 40GB;ADPf - Resource use, fossils;MJ;40.6;22.6;164.0;692.0;0.00;3.33
A100 PCIe 40GB;ADPe - Resource use, minerals and metals;kg Sb eq;0.000151;0.000842;0.00277;0.00146;0.00;9.38e-09
A100 PCIe 40GB;WU - Water use;m3;1.36;5.25;3.61;16.7;0.00;0.000905
GH200;AP - Acidification;mol H+ eq;0.122;0.00;0.4222;1.271;0.00;0.00
GH200;GWP - Climate change;kg CO2 eq;4.17;0.00;54.53;226.8;0.00;0.00
GH200;CTUe - Ecotoxicity, freshwater;CTUe;299.0;0.00;698.3;2897.0;0.00;0.00
