timestamp,gpu_power
.006,3594
.031,3592
.088,3592
.143,3594
.204,3594
.259,3594
.317,3594
.375,3594
.432,3594
.489,3594
.546,3594
.605,3594
.665,3594
.724,3594
.785,3592
.840,4790
.893,6780
.952,10370
1.014,13157
1.073,16746
1.132,19936
1.187,22337
1.243,23942
1.301,25139
1.360,25948
1.415,27134
1.473,27544
1.530,28742
1.589,29141
1.644,29540
1.701,29940
1.756,30339
1.814,30339
1.870,30738
1.929,31137
1.987,31137
2.046,31536
2.103,31536
2.165,31936
2.224,31936
2.280,32335
2.337,32348
2.394,32335
2.453,32348
2.511,32734
2.566,32348
2.625,32734
2.681,32335
2.738,32734
2.796,32335
2.852,32734
2.911,32734
2.971,32734
3.031,32734
3.090,32734
3.151,32734
3.211,32734
3.271,32747
3.331,32348
3.387,32734
3.445,32335
3.503,32734
3.559,32734
3.617,32734
3.673,32734
3.730,33532
3.786,33932
3.841,34716
3.904,35129
3.965,34730
4.027,34730
4.084,34331
4.146,34331
4.204,33932
4.265,34331
4.325,33932
4.384,33932
4.443,33532
4.500,33532
4.560,33532
4.617,33532
4.675,33532
4.731,33532
4.793,33133
4.857,33133
4.915,32734
4.978,33133
5.039,32734
5.096,33133
5.157,32734
5.216,32734
5.279,33133
5.338,33133
5.396,33133
5.452,33133
5.509,33133
5.567,33133
5.626,32734
5.681,33133
5.740,33133
5.795,33133
5.851,33133
5.911,32734
5.970,33133
6.029,33133
6.087,33133
6.143,33133
6.198,33133
6.257,33133
6.315,33133
6.374,32734
6.430,33133
6.485,32747
6.544,32747
6.603,32747
6.657,32335
6.715,32734
6.772,32734
6.831,32734
6.886,33133
6.944,32734
7.002,33133
7.059,33133
7.115,33133
7.174,33133
7.230,32734
7.287,33133
7.347,32734
7.405,33133
7.464,32734
7.523,32734
7.581,32335
7.640,33133
7.698,32734
7.757,33133
7.817,32734
7.879,33133
7.939,32734
7.997,33133
8.060,33133
8.118,33133
8.180,32734
8.237,32734
8.299,32734
8.359,33133
8.417,32734
8.476,33133
8.536,33133
8.598,33133
8.658,32734
8.719,33133
8.776,32734
8.835,33133
8.889,33133
8.952,33133
9.009,33133
9.066,32734
9.123,32734
9.180,32734
9.236,33133
9.293,33133
9.349,33133
9.405,33133
9.461,32734
9.517,32734
9.575,33133
9.629,33133
9.685,33133
9.743,33133
9.802,33133
9.862,33133
9.919,33133
9.981,33133
10.043,33532
10.101,33532
10.162,33532
10.223,33146
10.283,33133
10.342,33146
10.400,33133
10.457,33133
10.515,33133
10.572,32734
10.629,33133
10.688,32734
10.744,33133
10.800,32734
10.856,33532
10.915,33133
10.973,33532
11.029,33146
11.092,33532
11.152,32734
11.211,33133
11.276,33133
11.337,33133
11.400,33133
11.458,33133
11.519,33133
11.577,33133
11.638,33133
11.697,33133
11.760,33532
11.818,33133
11.879,33532
11.938,33133
11.996,33532
12.056,33133
12.112,33133
12.169,33133
12.226,32734
12.282,32734
12.339,32747
12.395,32734
12.450,32734
12.508,33133
12.563,32734
12.619,33133
12.676,33133
12.733,32734
12.789,32734
12.844,33133
12.901,32734
12.958,33133
13.020,33133
13.075,33133
13.131,33133
13.187,33532
13.244,33133
13.301,33133
13.357,33133
13.413,33133
13.470,33532
13.526,33532
13.582,33532
13.639,33133
13.695,33532
13.751,33133
13.808,33133
13.865,32734
13.920,32734
13.978,33133
14.035,33133
14.097,33133
14.154,33133
14.212,32747
14.270,32747
14.326,32734
14.384,33133
14.442,33146
14.499,33133
14.557,33146
14.613,33133
14.672,32747
14.730,33133
14.789,33133
14.850,33133
14.910,33133
14.969,33133
15.028,32747
15.091,33532
15.149,33532
15.208,33133
15.266,32747
15.322,33133
15.380,32734
15.436,33133
15.494,33146
15.550,33146
15.608,33133
15.667,33133
15.724,33133
15.780,33133
15.837,33133
15.894,33532
15.955,33532
16.011,33532
16.067,33133
16.128,33532
16.183,32747
16.241,32734
16.298,33133
16.354,33133
16.412,33133
16.469,33133
16.524,33133
16.583,33532
16.640,33133
16.696,33133
16.753,33133
16.812,33133
16.872,33133
16.930,33532
16.987,33133
17.044,33532
17.100,32734
17.157,33133
17.216,33133
17.272,33532
17.327,33133
17.386,33532
17.444,33133
17.501,33133
17.556,33133
17.614,33532
17.670,33133
17.728,33133
17.786,32734
17.843,33133
17.897,32734
17.957,33133
18.016,33133
18.077,33532
18.134,32734
18.190,33133
18.247,33133
18.304,33133
18.360,33133
18.418,33532
18.474,33146
18.530,33532
18.588,33146
18.645,33532
18.703,33146
18.759,33532
18.817,33133
18.874,33133
18.931,33146
18.993,33532
19.049,33133
19.106,33133
19.163,33133
19.221,32747
19.279,32734
19.340,32734
19.397,33133
19.457,33133
19.518,33133
19.577,32747
19.637,32734
19.697,32734
19.755,32734
19.814,32734
19.873,33133
19.929,33133
19.988,33133
20.044,33133
20.101,33133
20.159,33133
20.216,32734
20.272,32734
20.329,32734
20.386,33133
20.442,32734
20.500,33133
20.559,33133
20.619,33532
20.674,33133
20.731,33532
20.788,32747
20.844,33133
20.902,32734
20.960,33133
21.022,33146
21.081,32747
21.137,33133
21.194,32747
21.251,32747
21.308,32747
21.365,32747
21.422,32734
21.479,32734
21.536,33133
21.593,32747
21.651,33146
21.707,33146
21.764,33146
21.822,33146
21.879,33146
21.934,33146
21.991,32747
22.047,32747
22.107,33146
22.163,33146
22.222,33146
22.278,33146
22.337,33146
22.394,33146
22.451,33146
22.508,33146
22.567,33146
22.626,33146
22.686,33146
22.745,33546
22.804,33546
22.864,33546
22.918,33146
22.977,33146
23.036,32747
23.091,33133
23.151,33146
23.207,32747
23.264,33133
23.322,33532
23.380,33932
23.437,33945
23.496,34331
23.552,34730
23.609,35129
23.665,35129
23.721,35528
23.778,35543
23.840,35543
