timestamp,gpu_power
.008,3194
.038,3194
.094,3594
.153,3993
.211,5588
.269,8778
.327,12764
.384,15556
.443,17949
.499,20351
.557,22346
.615,23942
.673,25139
.729,26735
.785,27533
.844,28742
.901,29540
.958,30339
1.015,30738
1.072,31536
1.128,31536
1.185,31936
1.242,32335
1.301,32734
1.357,33133
1.413,33532
1.470,33532
1.528,33932
1.585,33932
1.643,34331
1.702,33945
1.760,33945
1.817,34331
1.875,34344
1.932,34344
1.990,34744
2.045,34730
2.103,34344
2.163,34730
2.219,34730
2.279,33945
2.333,34331
2.391,34331
2.449,34730
2.504,34331
2.561,34730
2.618,35129
2.676,34730
2.736,34331
2.792,34730
2.851,34331
2.907,34730
2.964,35129
3.023,34744
3.080,35129
3.136,35129
3.193,35129
3.250,35129
3.306,35528
3.364,35528
3.421,35129
3.478,35528
3.534,35129
3.592,35129
3.649,35528
3.706,35143
3.762,35129
3.820,35129
3.877,35129
3.934,35129
3.991,35129
4.047,35129
4.105,35129
4.162,34730
4.220,34730
4.276,34730
4.332,34730
4.389,35129
4.446,35528
4.503,34730
4.560,35528
4.617,35129
4.672,35129
4.729,35129
4.786,34331
4.843,34730
4.904,34744
4.961,34730
5.018,34730
5.077,34744
5.135,33945
5.193,34331
5.250,34331
5.307,34331
5.364,34331
5.421,34730
5.477,34730
5.535,35129
5.593,35129
5.649,34730
5.706,35129
5.760,34730
5.820,34344
5.879,34730
5.938,34331
5.994,34730
6.051,35129
6.107,34744
6.164,34730
6.219,34730
6.277,34730
6.335,35129
6.393,34730
6.450,35129
6.506,34730
6.565,34744
6.623,34730
6.682,34331
6.738,34730
6.796,34331
6.854,33945
6.912,33932
6.969,34331
7.026,34331
7.085,34331
7.141,34730
7.200,34344
7.258,35129
7.316,34331
7.374,34730
7.430,34730
7.487,35129
7.543,34344
7.600,34730
7.659,35129
7.714,34730
7.771,35129
7.835,34730
7.892,34730
7.949,34730
8.008,34344
8.064,34331
8.122,34730
8.181,34730
8.236,34730
8.292,34730
8.349,34730
8.406,35129
8.466,34730
8.521,34730
8.578,35129
8.634,34744
8.691,35129
8.747,34744
8.804,35129
8.864,34744
8.921,34730
8.979,34344
9.035,34730
9.092,35129
9.149,35129
9.206,34730
9.263,34730
9.320,34730
9.377,34730
9.435,35129
9.492,34730
9.549,35129
9.607,34730
9.661,34730
9.718,35129
9.774,34744
9.830,35129
9.889,34730
9.946,34730
10.003,34730
10.060,34730
10.118,34344
10.175,34331
10.232,34331
10.287,34331
10.344,34331
10.402,34331
10.458,34730
10.515,34331
10.574,34344
10.630,35129
10.687,34744
10.745,34730
10.801,35129
10.857,34744
10.915,34730
10.973,34344
11.031,34730
11.089,34344
11.148,33945
11.204,33932
11.261,33945
11.319,33932
11.373,33945
11.431,34730
11.488,34331
11.544,34730
11.603,34331
11.660,34730
11.717,35129
11.773,34344
11.831,35129
11.887,35129
11.946,34744
12.003,34730
12.059,34730
12.116,34730
12.174,34730
12.228,34730
12.287,34344
12.343,34730
12.401,34730
12.459,34344
12.515,34331
12.571,34730
12.630,34344
