gpu,model,nb_user,factor,scope,total,usage,manufacturing
NVIDIA GH200_0,qwen3:14b,1,GWP,per_gpu,0.0009253569930532779,0.0007907494821549555,0.00013460751089832242
NVIDIA GH200_0,qwen3:14b,1,ADPe,per_gpu,3.7752954021274735e-09,4.797805846782875e-10,3.295514817449186e-09
NVIDIA GH200_0,qwen3:14b,1,WU,per_gpu,0.0001849349627000585,0.0001296197340910682,5.531522860899027e-05
NVIDIA GH200_0,qwen3:14b,10,GWP,per_gpu,0.0033036754085754047,0.0028863471457439504,0.0004173282628314543
NVIDIA GH200_0,qwen3:14b,10,ADPe,per_gpu,1.196846393659846e-08,1.7512668075300372e-09,1.0217197129068422e-08
NVIDIA GH200_0,qwen3:14b,10,WU,per_gpu,0.0006446260046544038,0.0004731303124047199,0.0001714956922496839
GLOBAL,qwen3:14b,1,GWP,global,0.0009253569930532779,0.0007907494821549555,0.00013460751089832242
GLOBAL,qwen3:14b,10,GWP,global,0.0033036754085754047,0.0028863471457439504,0.0004173282628314543
GLOBAL,qwen3:14b,1,ADPe,global,3.7752954021274735e-09,4.797805846782875e-10,3.295514817449186e-09
GLOBAL,qwen3:14b,10,ADPe,global,1.196846393659846e-08,1.7512668075300372e-09,1.0217197129068422e-08
GLOBAL,qwen3:14b,1,WU,global,0.0001849349627000585,0.0001296197340910682,5.531522860899027e-05
GLOBAL,qwen3:14b,10,WU,global,0.0006446260046544038,0.0004731303124047199,0.0001714956922496839
