gpu,model,nb_user,factor,scope,total,usage,manufacturing
NVIDIA GH200_0,gemma3:12b,1,GWP,per_gpu,0.0010739121899314217,5.9558857487146936e-05,0.0010143533324442748
NVIDIA GH200_0,gemma3:12b,1,ADPe,per_gpu,1.810702999457323e-08,3.613683487984196e-11,1.8070893159693387e-08
NVIDIA GH200_0,gemma3:12b,1,WU,per_gpu,0.00040883279608271313,9.762893867743311e-06,0.00039906990221496983
NVIDIA GH200_0,gemma3:12b,10,GWP,per_gpu,0.013502486278776848,0.0007509682920690987,0.012751517986707749
NVIDIA GH200_0,gemma3:12b,10,ADPe,per_gpu,2.2762630679529313e-07,4.5564368282844184e-10,2.2717066311246468e-07
NVIDIA GH200_0,gemma3:12b,10,WU,per_gpu,0.005139838895078983,0.000123098797439042,0.005016740097639941
GLOBAL,gemma3:12b,1,GWP,global,0.0010739121899314217,5.9558857487146936e-05,0.0010143533324442748
GLOBAL,gemma3:12b,10,GWP,global,0.013502486278776848,0.0007509682920690987,0.012751517986707749
GLOBAL,gemma3:12b,1,ADPe,global,1.810702999457323e-08,3.613683487984196e-11,1.8070893159693387e-08
GLOBAL,gemma3:12b,10,ADPe,global,2.2762630679529313e-07,4.5564368282844184e-10,2.2717066311246468e-07
GLOBAL,gemma3:12b,1,WU,global,0.00040883279608271313,9.762893867743311e-06,0.00039906990221496983
GLOBAL,gemma3:12b,10,WU,global,0.005139838895078983,0.000123098797439042,0.005016740097639941
