timestamp,gpu_power
.012,3192
.038,5584
.092,9166
.149,13152
.208,16746
.264,19537
.322,21938
.378,23932
.434,26326
.493,27932
.550,29528
.608,31125
.666,31524
.720,32322
.778,33120
.836,33918
.893,34716
.948,34730
1.005,35514
1.064,35913
1.121,36312
1.177,36711
1.233,37110
1.289,37524
1.349,37924
1.405,38307
1.465,38307
1.520,38323
1.579,38307
1.635,38706
1.692,38323
1.747,38323
1.806,38323
1.859,38706
1.917,39105
1.977,39121
2.032,39121
2.089,39121
2.145,38722
2.204,39121
2.260,39121
2.316,39121
2.372,39520
2.428,39520
2.485,39520
2.544,39520
2.601,39520
2.659,39520
2.715,39121
2.773,38722
2.829,39121
2.887,39121
2.944,39121
2.998,39520
3.057,39520
3.113,39520
3.170,39520
3.228,39520
3.282,39520
3.341,39121
3.395,39121
3.454,39121
3.513,39520
3.568,39504
3.624,39520
3.682,39520
3.737,38722
3.793,39121
3.849,39105
3.908,39520
3.964,39121
4.020,39121
4.077,39520
4.132,39520
4.189,39520
4.246,39520
4.302,39920
4.358,39920
4.415,39904
4.472,39520
4.527,39121
4.585,39121
4.642,39105
4.697,38323
4.755,38722
4.809,38706
4.868,39105
4.924,39105
4.979,39105
5.034,39105
5.092,39105
5.146,39121
5.202,39105
5.260,39105
5.317,39105
5.371,39504
5.429,39504
5.485,39504
5.541,39504
5.599,39504
5.655,38722
5.711,38323
5.767,38323
5.824,38706
5.880,38722
5.935,38706
5.993,39121
6.047,39121
6.105,39121
6.161,39520
6.217,39520
6.272,39520
6.328,39121
6.386,39121
6.442,39520
6.499,39520
6.556,39520
6.613,39520
6.668,39520
6.725,38722
6.781,39121
6.836,39121
6.892,38722
6.950,38323
7.006,38722
7.061,38722
7.117,38722
7.177,38323
7.232,38722
7.288,39121
7.343,39121
7.398,39121
7.455,39520
7.513,39520
7.568,39121
7.623,39121
7.683,38722
7.740,38722
7.795,39121
7.852,39121
7.908,38722
7.963,38722
8.019,39121
8.075,39121
8.131,39121
8.188,39121
8.245,39121
8.301,39121
8.358,39520
8.413,39520
8.472,39520
8.530,39504
8.585,39504
8.641,39904
8.697,39920
8.754,38722
8.812,39121
8.868,39105
8.925,39105
8.981,39504
9.035,39504
9.092,39121
9.147,39121
9.204,39121
9.260,39520
9.318,39520
9.372,39121
9.429,39121
9.488,39121
9.544,39520
9.601,39520
9.657,39520
