model,nb_users,agent_id,run_id,percent
gemma3:12b,100,59,6,100
gemma3:12b,100,80,7,100
qwen3:14b,25,2,5,0
qwen3:14b,10,1,1,100
gemma3:12b,25,10,9,0
qwen3:14b,10,2,5,0
gemma3:12b,50,0,5,0
qwen3:14b,100,72,4,100
qwen3:14b,75,38,0,0
gemma3:12b,10,4,2,100
ministral-3:14b,10,4,8,0
qwen3:14b,100,90,7,100
qwen3:14b,75,11,1,0
qwen3:14b,100,62,0,100
qwen3:14b,75,50,6,100
gemma3:12b,50,14,9,100
qwen3:14b,50,44,1,0
ministral-3:14b,50,31,8,100
qwen3:14b,75,46,5,0
gemma3:12b,100,12,3,0
gemma3:12b,100,29,7,0
gemma3:12b,50,27,0,100
gemma3:12b,50,33,0,100
gemma3:12b,75,15,1,0
gemma3:12b,100,16,5,100
gemma3:12b,100,68,4,0
ministral-3:14b,50,6,0,100
ministral-3:14b,100,43,7,100
gemma3:12b,75,71,5,0
ministral-3:14b,50,38,2,0
ministral-3:14b,100,19,8,0
ministral-3:14b,50,16,7,100
gemma3:12b,100,40,8,0
qwen3:14b,75,54,3,100
ministral-3:14b,100,98,3,0
gemma3:12b,75,38,0,0
gemma3:12b,75,52,9,0
gemma3:12b,75,51,0,0
ministral-3:14b,100,63,1,0
qwen3:14b,100,29,9,100
gemma3:12b,100,6,3,0
ministral-3:14b,50,43,6,100
qwen3:14b,75,8,1,100
qwen3:14b,100,67,6,0
gemma3:12b,100,90,0,0
qwen3:14b,75,35,2,100
ministral-3:14b,10,5,3,100
qwen3:14b,100,36,2,100
qwen3:14b,25,4,8,0
ministral-3:14b,100,91,3,0
qwen3:14b,1,0,4,0
gemma3:12b,50,9,9,100
gemma3:12b,100,33,1,100
ministral-3:14b,25,24,1,0
ministral-3:14b,100,14,1,0
qwen3:14b,10,8,9,0
ministral-3:14b,25,5,8,0
qwen3:14b,50,17,5,100
ministral-3:14b,75,41,4,0
gemma3:12b,75,13,7,0
qwen3:14b,50,18,8,0
ministral-3:14b,10,7,1,100
gemma3:12b,75,2,5,100
qwen3:14b,50,41,6,0
qwen3:14b,75,2,9,100
ministral-3:14b,25,17,9,0
ministral-3:14b,25,3,4,0
ministral-3:14b,100,14,3,100
