Infrastructure;nb_users;avg_latency_s;model
Jetson AGX Orin;1;100.2720319;Gemma3 12B
Jetson AGX Orin;10;231.1380941;Gemma3 12B
Jetson AGX Orin;100;1102.017284;Gemma3 12B
Jetson AGX Orin;1;111.7079896;GPT-oss 20B
Jetson AGX Orin;10;331.9570775;GPT-oss 20B
Jetson AGX Orin;100;1960.54959;GPT-oss 20B
Jetson AGX Orin;1;24.64099371;Mistral 7B
Jetson AGX Orin;10;131.376044;Mistral 7B
Jetson AGX Orin;100;845.6589992;Mistral 7B
Nvidia H200;1;11.29814985;Gemma3 12B
Nvidia H200;10;23.8069542;Gemma3 12B
Nvidia H200;100;169.9076012;Gemma3 12B
Nvidia H200;1;14.27575038;GPT-oss 20B
Nvidia H200;10;44.47409771;GPT-oss 20B
Nvidia H200;100;266.7883732;GPT-oss 20B
Nvidia H200;1;2.825581193;Mistral 7B
Nvidia H200;10;4.736901905;Mistral 7B
Nvidia H200;100;74.79175809;Mistral 7B
4 x Nvidia L40S;1;19.82672252;Gemma3 12B
4 x Nvidia L40S;10;22.8148744;Gemma3 12B
4 x Nvidia L40S;100;927.1461266;Gemma3 12B
4 x Nvidia L40S;1;21.62379454;GPT-oss 20B
4 x Nvidia L40S;10;30.17450433;GPT-oss 20B
4 x Nvidia L40S;100;120.1944259;GPT-oss 20B
4 x Nvidia L40S;1;4.854694501;Mistral 7B
4 x Nvidia L40S;10;5.598001814;Mistral 7B
4 x Nvidia L40S;100;71.06741111;Mistral 7B
4 x Nvidia A100;1;18.35742553;Gemma3 12B
4 x Nvidia A100;10;21.52351809;Gemma3 12B
4 x Nvidia A100;100;811.7332918;Gemma3 12B
4 x Nvidia A100;1;21.15885766;GPT-oss 20B
4 x Nvidia A100;10;36.42327837;GPT-oss 20B
4 x Nvidia A100;100;144.6491517;GPT-oss 20B
4 x Nvidia A100;1;4.376171067;Mistral 7B
4 x Nvidia A100;10;5.137546742;Mistral 7B
4 x Nvidia A100;100;42.67410692;Mistral 7B
8 x Nvidia V100;1;23.19661039;Gemma3 12B
8 x Nvidia V100;10;25.6124659;Gemma3 12B
8 x Nvidia V100;100;272.8856909;Gemma3 12B
8 x Nvidia V100;1;27.70353602;GPT-oss 20B
8 x Nvidia V100;10;36.12034059;GPT-oss 20B
8 x Nvidia V100;100;316.1405307;GPT-oss 20B
8 x Nvidia V100;1;6.471705452;Mistral 7B
8 x Nvidia V100;10;6.903694779;Mistral 7B
8 x Nvidia V100;100;37.3422875;Mistral 7B
