infrastructure;model;nb_users;scope;total;usage;manufacturing;Success
Jetson AGX Orin;mistral:7b;1;global;0.4467952728;0.3352119786;0.1115832942;True
Jetson AGX Orin;mistral:7b;10;global;1.600290521;1.393615973;0.2066745479;False
Jetson AGX Orin;mistral:7b;100;global;2.176223604;1.873523091;0.3027005127;False
Jetson AGX Orin;gpt-oss:20b;1;global;1.022245371;0.8226534893;0.1995918813;False
Jetson AGX Orin;gpt-oss:20b;10;global;1.258114207;1.042650863;0.2154633438;False
Jetson AGX Orin;gpt-oss:20b;100;global;2.892150925;2.404385425;0.487765499;False
Jetson AGX Orin;gemma3:12b;1;global;1.205170193;1.009711528;0.1954586654;False
Jetson AGX Orin;gemma3:12b;10;global;1.453215632;1.237630685;0.2155849472;False
Jetson AGX Orin;gemma3:12b;100;global;2.076731287;1.730656588;0.3460746993;False
Nvidia H200;mistral:7b;1;global;4.007143212;3.468327044;0.5388161676;True
Nvidia H200;mistral:7b;10;global;9.086487833;8.321597713;0.7648901204;True
Nvidia H200;mistral:7b;100;global;25.2460273;23.91336563;1.332661671;True
Nvidia H200;gpt-oss:20b;1;global;5.444248397;4.882169203;0.5620791947;True
Nvidia H200;gpt-oss:20b;10;global;13.10877474;12.12534583;0.9834289093;True
Nvidia H200;gpt-oss:20b;100;global;23.08943364;21.59906963;1.490364007;False
Nvidia H200;gemma3:12b;1;global;4.150829667;3.770714484;0.380115184;True
Nvidia H200;gemma3:12b;10;global;16.96264306;16.03125772;0.9313853429;True
Nvidia H200;gemma3:12b;100;global;34.38851716;32.2683001;2.120217061;False
4 x Nvidia A100;mistral:7b;1;global;7.14364359;6.687927856;0.455715734;True
4 x Nvidia A100;mistral:7b;10;global;14.51733876;13.92850851;0.5888302497;True
4 x Nvidia A100;mistral:7b;100;global;60.79419245;59.82820373;0.965988724;True
4 x Nvidia A100;gpt-oss:20b;1;global;9.822190927;9.286573051;0.5356178762;True
4 x Nvidia A100;gpt-oss:20b;10;global;27.6316291;26.67918988;0.952439227;True
4 x Nvidia A100;gpt-oss:20b;100;global;57.52570984;56.09095395;1.434755891;False
4 x Nvidia A100;gemma3:12b;1;global;11.85517393;11.18264875;0.6725251768;True
4 x Nvidia A100;gemma3:12b;10;global;28.12112528;27.27078099;0.8503442956;True
4 x Nvidia A100;gemma3:12b;100;global;95.84257754;93.56549146;2.277086076;False
4 x Nvidia L40S;mistral:7b;1;global;6.959924125;6.453366619;0.5065575066;True
4 x Nvidia L40S;mistral:7b;10;global;19.05978349;18.46604103;0.593742454;True
4 x Nvidia L40S;mistral:7b;100;global;60.32402224;59.1782162;1.145806041;False
4 x Nvidia L40S;gpt-oss:20b;1;global;9.413951203;8.81499775;0.5989534534;True
4 x Nvidia L40S;gpt-oss:20b;10;global;27.41287061;26.67028192;0.74258869;True
4 x Nvidia L40S;gpt-oss:20b;100;global;53.89672393;52.73383732;1.162886613;False
4 x Nvidia L40S;gemma3:12b;1;global;9.037673219;8.486648674;0.5510245445;True
4 x Nvidia L40S;gemma3:12b;10;global;26.64277552;25.97244304;0.6703324739;True
4 x Nvidia L40S;gemma3:12b;100;global;113.3614464;110.8554152;2.50603124;False
8 x Nvidia V100;mistral:7b;1;global;9.621516263;8.963917129;0.6575991336;True
8 x Nvidia V100;mistral:7b;10;global;21.6826438;20.82415717;0.8584866327;True
8 x Nvidia V100;mistral:7b;100;global;84.52731956;82.66065812;1.866661432;False
8 x Nvidia V100;gpt-oss:20b;1;global;16.1775855;15.13422433;1.04336117;True
8 x Nvidia V100;gpt-oss:20b;10;global;42.27776432;40.93350187;1.344262454;True
8 x Nvidia V100;gpt-oss:20b;100;global;79.58522234;77.50945502;2.075767319;False
8 x Nvidia V100;gemma3:12b;1;global;11.48538523;10.81049311;0.6748921143;True
8 x Nvidia V100;gemma3:12b;10;global;43.09987571;41.77337638;1.326499332;True
8 x Nvidia V100;gemma3:12b;100;global;222.4970864;217.416683;5.080403353;False
